ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Longitude,Latitude,SEIFA,NumberOfApprovedPlaces,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Annual Monday Start Time,Annual Monday End Time,Meal Provision
SE-00000002,PR-00000898,Community Kids Waterford Early Education Centre,G8 Education Limited,8-10 Allora St,WATERFORD WEST,QLD,4133,153.1339029,-27.6905132,4,60,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Sep-16,,,,,,,,,,Yes,No,Yes,No,No,No,6:15,18:15,Yes
SE-00000003,PR-40024441,Cosmo Early Learning,COSMO EARLY CHILDHOOD LEARNING PTY LTD,82 Fryar Road,EAGLEBY,QLD,4207,153.2117308,-27.7074524,3,74,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-15,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,6:00,18:00,Yes
SE-00000004,PR-00000898,Community Kids - Broadbeach Waters,G8 Education Limited,4 Fremar Street,BROADBEACH WATERS,QLD,4218,153.4103091,-28.0248129,9,75,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Jul-15,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:30,No
SE-00000005,PR-00000054,Burleigh Waters Child Care Centre,Downlip Pty Ltd & Asian Business Connections Pty Ltd,143 Christine Ave,BURLEIGH WATERS,QLD,4220,153.4314814,-28.0822013,8,106,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-19,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,May-13,Yes,No,No,No,No,No,7:00,18:30,No
SE-00000006,PR-00000483,Small World Child Care Centre ,Kika Massouras,113-115 Pappas Way,CARRARA,QLD,4211,153.3516701,-28.0055806,7,92,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-16,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,6:30,18:00,Yes
SE-00000008,PR-40001112,Aussie Kindies Early Learning Currumbin Waters,Affinity Education Group Limited,3 Galleon Way,CURRUMBIN WATERS,QLD,4223,153.4615478,-28.1394885,8,60,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-15,,,,,,,,,,Yes,No,No,No,No,No,6:45,18:15,No
SE-00000009,PR-00000687,Panda's Child Care Centre,Ancom Pty Ltd,25 Avocado Street,ELANORA,QLD,4221,153.4499006,-28.1286132,7,70,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-18,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-13,Yes,No,No,No,No,No,7:00,18:00,No
SE-00000010,PR-00000321,Koala Kindy,UYI Holdings Pty Ltd,51 Ashford Road,HELENSVALE,QLD,4212,153.3273755,-27.903346,9,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-19,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jan-14,Yes,No,No,No,No,No,6:45,18:45,Yes
SE-00000011,PR-00000239,Albert Waterways Children's Centre,Albert Waterways Children's Centre Inc,91 Sunshine Boulevard,MERMAID WATERS,QLD,4218,153.4244078,-28.03706,9,47,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-18,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-12,Yes,No,No,No,No,No,7:45,17:45,Yes
SE-00000012,PR-40009312,The Young Ones Early Learning,WWNest Pty Ltd as Trustee for CHH Trust,17 Cobai Drive,MUDGEERABA,QLD,4213,153.36317,-28.0792297,9,86,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-21,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-18,Yes,No,Yes,No,No,No,6:30,18:30,Yes
SE-00000013,PR-00001129,Goodstart Early Learning Mudgeeraba,Goodstart Early Learning Ltd,Lot 9 Somerset Drive,MUDGEERABA,QLD,4213,153.3627401,-28.0854891,9,58,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Feb-18,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,May-13,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000014,PR-40001112,Milestones Early Learning Worongary,Affinity Education Group Limited,91 Quambone Street,WORONGARY,QLD,4213,153.3538888,-28.0515513,9,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-13,Yes,No,Yes,Yes,Yes,Yes,6:30,18:30,No
SE-00000015,PR-00000988,Amaze Early Education Centre,L4N Pty Ltd as Trustee for Nairn Trust & Apal Pty Ltd as Trustee for Mazey Trust,22 Hinterland Drive,MUDGEERABA,QLD,4213,153.3589898,-28.0805501,9,62,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Sep-15,,,,,,,,,,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-00000017,PR-40000302,Clearview Early Learning and Kindergarten,Gurlitzer Pty Ltd As Trustee For Nerang Trust,86 Dugandan Street,NERANG,QLD,4211,153.3099848,-28.0024203,7,77,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Oct-17,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-13,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000018,PR-00000942,Highland Park Superkids Child Care Centre,Squiggles Investments Pty Ltd,140 Alexander Drive,NERANG,QLD,4211,153.3330275,-28.0120334,7,64,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-20,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-14,Yes,No,Yes,No,No,No,7:30,17:30,No
SE-00000019,PR-00004915,Little World For Discoverers,Qelc Pty Ltd,24 Michigan Drive,OXENFORD,QLD,4210,153.3133927,-27.9018974,9,65,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-20,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Aug-13,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000020,PR-40001487,Kool Kids Early Learning Centre - Mermaid Waters,Kool Kids Operations Pty Ltd,167 - 169 Barrier Reef Drive,MERMAID WATERS,QLD,4218,153.4151778,-28.0474434,9,72,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-17,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Working Towards NQS,Dec-13,Yes,No,Yes,Yes,Yes,No,7:00,18:00,Yes
SE-00000021,PR-40000134,Robina First Early Learning Centre,Youngercare Pty Ltd,40 - 42 Commerce Drive,ROBINA,QLD,4226,153.4046248,-28.064813,9,100,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul-15,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000022,PR-40014300,Fingerprints Childrens Centre,Flourish School of Kinder Learning Pty Ltd,1 Alice Bowden Court,WORONGARY,QLD,4213,153.3264491,-28.049571,9,24,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Jul-19,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Sep-15,Yes,No,Yes,No,No,No,8:00,16:00,Yes
SE-00000025,PR-00008029,C&K Biloela Community Childcare Centre,The Creche and Kindergarten Association Limited,96-98 Grevillea Street,BILOELA,QLD,4715,150.5113057,-24.3979558,6,42,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Feb-21,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Apr-19,Yes,No,Yes,No,No,No,6:30,17:30,Yes
SE-00000026,PR-00000482,Simply Sunshine Childcare Centre,Moranbah Neighbourhood Centre Association Inc,23 Griffin Street,MORANBAH,QLD,4744,148.0451733,-21.9992102,8,80,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Dec-17,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jun-14,Yes,No,No,No,No,No,6:00,18:00,No
SE-00000027,PR-00000206,Clermont Kindergarten Day Care Centre,Clermont Kindergarten Day Care Centre Association Inc,6 Beatty Street,CLERMONT,QLD,4721,147.6362462,-22.8318285,6,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-19,Exceeding NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Jul-15,Yes,No,Yes,Yes,No,Yes,7:00,17:30,No
SE-00000028,PR-00000549,Bowen Childcare and Early Education,Bowen and District Child Care Association Inc,65 Williams Street,BOWEN,QLD,4805,148.2423649,-20.0163715,2,63,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-20,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Apr-15,Yes,No,Yes,Yes,Yes,Yes,6:45,17:45,Yes
SE-00000029,PR-00000533,YMCA Acacia Ridge Early Education Centre,The Young Men's Christian Association of Brisbane,Cnr Mannington Rd and Chifley St,ACACIA RIDGE,QLD,4110,153.0246488,-27.5846907,4,75,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-19,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-14,Yes,No,No,No,No,Yes,6:30,18:00,Yes
SE-00000030,PR-40000106,Sunrise Kids Early Education & Care - Acacia Ridge,Sunrise Kids #2 Pty Ltd ATF Sunrise Kids Trust,70 Elizabeth Street,ACACIA RIDGE,QLD,4110,153.0225532,-27.5891164,4,63,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-15,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000031,PR-00000400,Nurseryland Early Childhood Learning Centre - Alderley,Belbaker Pty Ltd ATF The Baker Family Trust,26 Progress Parade,ALDERLEY,QLD,4051,153.0070547,-27.4242348,10,105,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Nov-16,,,,,,,,,,Yes,No,No,No,No,No,7:00,18:00,Yes
SE-00000032,PR-00000854,Algester World Of Learning,Ramsay Bourne Acquisitions (No. 2) Pty Limited,57 Endiandra Street,ALGESTER,QLD,4115,153.0341204,-27.617985,9,64,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-18,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-15,Yes,No,Yes,No,No,No,6:45,18:15,Yes
SE-00000033,PR-00000898,Community Kids Annerley,G8 Education Limited,25 Villa Street,ANNERLEY,QLD,4103,153.0278675,-27.5176947,9,80,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-17,,,,,,,,,,Yes,No,Yes,No,No,No,6:00,18:00,No
SE-00000034,PR-00001129,Goodstart Early Learning Ashgrove,Goodstart Early Learning Ltd,22 Trout Street,ASHGROVE,QLD,4060,152.9919711,-27.4466906,10,120,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-15,,,,,,,,,,Yes,No,Yes,No,No,No,6:30,18:00,Yes
SE-00000035,PR-00001129,Goodstart Early Learning Aspley,Goodstart Early Learning Ltd,792 Zillmere Road,ASPLEY,QLD,4034,153.0181413,-27.356804,8,74,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Sep-18,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-14,Yes,No,No,No,No,No,7:00,18:00,Yes
SE-00000036,PR-00007776,Boondall Early Childhood Centre,Jubarlee Enterprises Pty Ltd ATF The Longden Family Trust And Feng Holdings Pty Ltd ATF The Feng Family Trust,73 Zillmere Road,BOONDALL,QLD,4034,153.0586123,-27.3622453,8,98,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-17,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Mar-16,Yes,No,Yes,No,No,No,6:30,18:00,Yes
SE-00000037,PR-00000108,Tugulawa Early Education Incorporated,Tugulawa Early Education Incorporated,235 Oxford St,BULIMBA,QLD,4171,153.0636276,-27.4522407,10,59,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Dec-15,,,,,,,,,,Yes,No,No,No,No,No,7:15,17:45,Yes
SE-00000038,PR-00001129,Goodstart Early Learning Carindale,Goodstart Early Learning Ltd,86 Bridgnorth Street,CARINDALE,QLD,4152,153.1127617,-27.503956,10,57,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-16,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000039,PR-00000647,The Salvation Army Carina Child Care Centre,The Salvation Army (Qld) Property Trust,202 Gallipoli Road,CARINA,QLD,4152,153.0930009,-27.5055097,10,47,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Dec-17,,,,,,,,,,Yes,No,No,No,No,No,7:00,18:00,Yes
SE-00000040,PR-00001129,Goodstart Early Learning Carina,Goodstart Early Learning Ltd,761 Old Cleveland Road,CARINA,QLD,4152,153.0873881,-27.4962036,10,52,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-20,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Apr-18,Yes,No,No,No,No,No,7:00,18:00,Yes
SE-00000041,PR-00001129,Goodstart Early Learning Clayfield,Goodstart Early Learning Ltd,23 Norman Parade,CLAYFIELD,QLD,4011,153.049506,-27.416533,10,57,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-18,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Jun-14,Yes,No,No,No,No,No,7:00,18:15,Yes
SE-00000042,PR-00000957,Peter Pan Early Learning and Kindergarten,The Trustee for Treasure Island Trust,22A Eva Street,COORPAROO,QLD,4151,153.0688027,-27.5045461,10,62,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Jul-17,,,,,,,,,,Yes,No,Yes,No,No,No,7:00,18:00,Yes
SE-00000043,PR-40019274,Mother Duck Child Care and Pre School Enoggera,Wilson Childcare Investments Pty Ltd as trustee for Wilson Childcare Investments Trust,36 Glenalva Terrace,ENOGGERA,QLD,4051,152.9956092,-27.4220704,10,63,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Feb-21,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-13,Yes,No,Yes,No,No,No,6:00,18:00,Yes
SE-00000044,PR-00000113,Everton Park Child Care and Development Centre,Scanlan Way Pty Ltd,25 Halle Street,EVERTON PARK,QLD,4053,152.988731,-27.402154,9,80,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Excellent,Aug-19,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-16,Yes,No,No,Yes,Yes,No,6:30,18:30,Yes
SE-00000046,PR-00000101,Lady Gowrie Love Street Child Centre,The Gowrie (Qld) Inc.,228 St Pauls Terrace,FORTITUDE VALLEY,QLD,4006,153.0303424,-27.4576347,10,110,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Oct-16,,,,,,,,,,Yes,No,No,No,No,No,7:30,17:45,Yes
SE-00000047,PR-00000702,Julia Cumming Community Child Care Centre,Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane - Centacare Administration Services,12 Addison Road,GRACEVILLE,QLD,4075,152.9779144,-27.5202472,10,44,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-18,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Jul-15,Yes,No,No,No,No,No,7:00,18:00,Yes
SE-00000048,PR-00000873,Holland Park Creche and Family Centre,Jadcare Pty Ltd,21 Eric Road,HOLLAND PARK,QLD,4121,153.075266,-27.5254943,10,65,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-20,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Dec-15,Yes,No,No,Yes,Yes,No,7:00,18:00,Yes
SE-00000049,PR-00000111,ASPEN COMMUNITY EARLY LEARNING CENTRE INC.,Aspen Community Early Learning Centre Inc,24 Aspen Street,INALA,QLD,4077,152.9732331,-27.5850903,1,75,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Jul-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Nov-14,Yes,No,No,No,No,No,7:00,18:00,Yes
SE-00000050,PR-00000392,Swallow St Child Care Association,Swallow Street Child Care Association Inc,101 Swallow St,INALA,QLD,4077,152.9772794,-27.6012663,1,64,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Feb-15,,,,,,,,,,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000051,PR-00001129,Goodstart Early Learning Indooroopilly - York Street,Goodstart Early Learning Ltd,45-49 York St,INDOOROOPILLY,QLD,4068,152.9768667,-27.4962944,10,106,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-19,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Nov-16,Yes,No,No,Yes,Yes,Yes,6:00,18:00,Yes
SE-00000052,PR-00001129,Goodstart Early Learning Jindalee,Goodstart Early Learning Ltd,100 Burrendah Road,JINDALEE,QLD,4074,152.9364685,-27.5304403,10,75,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Jan-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-12,Yes,No,No,No,No,No,6:30,18:00,Yes
SE-00000053,PR-00000611,Kindyland Pre School and Child Care Centre,Pananga Pty Ltd,Cnr Franklin & Dunsmore Street,KELVIN GROVE,QLD,4059,153.0148532,-27.4443212,10,50,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,7:30,17:30,No
SE-00000054,PR-00008029,C&K Herston Road Community Long Day Care,The Creche and Kindergarten Association Limited,185 Herston Road,HERSTON,QLD,4006,153.0182991,-27.4497822,10,44,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-19,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-15,Yes,No,Yes,No,No,No,6:30,18:00,Yes
SE-00000055,PR-00001129,Goodstart Early Learning Kenmore - Kersley Road,Goodstart Early Learning Ltd,49 Kersley Road,KENMORE,QLD,4069,152.9476924,-27.5197993,10,75,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Apr-21,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-14,Yes,No,No,No,No,No,6:30,18:30,Yes
SE-00000056,PR-40001626,Avenues Early Learning Centre - McDowall,H C Yang Childcare Pty Ltd as Trustee for H C Yang Childcare Trust,51 Landis Street,MCDOWALL,QLD,4053,152.9881314,-27.3839898,9,75,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Mar-16,,,,,,,,,,Yes,No,Yes,No,No,Yes,6:30,18:00,Yes
SE-00000057,PR-00001225,Mother Duck Childcare and Preschool Manly,H M Denner Pty Ltd,59 Manly Road,MANLY,QLD,4179,153.1754837,-27.4596202,9,75,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Apr-15,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:00,Yes
SE-00000058,PR-00000568,Silky Oaks Child Care Centre,Silky Oaks Children's Haven,218 Manly Road,MANLY WEST,QLD,4179,153.1735277,-27.4673391,9,57,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Nov-16,,,,,,,,,,Yes,No,No,No,No,No,7:00,18:00,No
SE-00000059,PR-00001203,Kindy Patch Manly,G8 KP Pty Ltd,186 Preston Road,MANLY WEST,QLD,4179,153.1687823,-27.4550649,9,74,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-19,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-15,Yes,No,No,No,No,No,6:00,18:00,Yes
SE-00000060,PR-00000783,Citipointe Kindergarten,Christian Outreach Centre,322 Wecker Road,MANSFIELD,QLD,4122,153.1124166,-27.5339633,9,88,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-15,,,,,,,,,,Yes,No,No,No,No,No,7:30,17:30,No
SE-00000061,PR-00000716,Blackwood Street Early Learning,Mitchelton Community Preschool Association,117 Blackwood St,MITCHELTON,QLD,4053,152.9755448,-27.4076981,9,90,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-14,,,,,,,,,,Yes,No,No,No,No,No,6:30,18:00,Yes
SE-00000062,PR-00000876,Moorooka Early Learning Centre,Downs Motel Toowoomba Pty Ltd ATF The Pendleton Trust,14 Sherley Street,MOOROOKA,QLD,4105,153.0246688,-27.5354179,9,34,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-15,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,6:30,18:30,No
SE-00000063,PR-00000389,St Brendans Child Care Centre and Kindergarten,LAKE MONA PTY LTD,80 Hamilton Road,MOOROOKA,QLD,4105,153.018506,-27.5384957,9,64,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-18,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Apr-13,Yes,No,No,No,No,No,6:30,18:00,Yes
